anio,mes,indice_tiempo,provincia,concepto,cantidad_mm3,produccion_mes_anterior,produccion_dos_meses_antes,promedio_3_meses,variacion_mes_anterior
2011,7,2011-07,Chubut,Producción convencional,299494.02567247057,289228.02545,286082.96626,284905.46925333334,3145.05919
2011,8,2011-08,Chubut,Producción convencional,302506.8818,299494.02567247057,289228.02545,291601.67246082355,10266.000222470553
2011,9,2011-09,Chubut,Producción convencional,299701.015689969,302506.8818,299494.02567247057,297076.3109741569,3012.856127529405
2011,10,2011-10,Chubut,Producción convencional,310640.8063,299701.015689969,302506.8818,300567.30772081314,-2805.866110030969
2011,11,2011-11,Chubut,Producción convencional,289897.9336059678,310640.8063,299701.015689969,304282.901263323,10939.790610030992
2011,12,2011-12,Chubut,Producción convencional,310767.72075,289897.9336059678,310640.8063,300079.91853197897,-20742.87269403221
2012,1,2012-01,Chubut,Producción convencional,307142.4420760593,310767.72075,289897.9336059678,303768.8202186559,20869.78714403219
2012,2,2012-02,Chubut,Producción convencional,279445.7623,307142.4420760593,310767.72075,302602.69881067565,-3625.2786739406874
2012,3,2012-03,Chubut,Producción convencional,300336.66191,279445.7623,307142.4420760593,299118.6417086864,-27696.67977605929
2012,4,2012-04,Chubut,Producción convencional,281386.65612,300336.66191,279445.7623,295641.62209535314,20890.899610000022
2012,5,2012-05,Chubut,Producción convencional,303128.14073,281386.65612,300336.66191,287056.36011,-18950.005790000025
2012,6,2012-06,Chubut,Producción convencional,275406.27935,303128.14073,281386.65612,294950.48625333334,21741.484609999985
2012,7,2012-07,Chubut,Producción convencional,292532.80746,275406.27935,303128.14073,286640.35873333336,-27721.86137999996
2012,8,2012-08,Chubut,Producción convencional,301208.39618,292532.80746,275406.27935,290355.7425133334,17126.528109999956
2012,9,2012-09,Chubut,Producción convencional,290073.84437,301208.39618,292532.80746,289715.82766333333,8675.58872
2012,10,2012-10,Chubut,Producción convencional,296887.70327,290073.84437,301208.39618,294605.0160033333,-11134.551809999975
2012,11,2012-11,Chubut,Producción convencional,281155.35829,296887.70327,290073.84437,296056.64794,6813.858899999992
2012,12,2012-12,Chubut,Producción convencional,283307.99212133,281155.35829,296887.70327,289372.30197666667,-15732.344979999994
2013,1,2013-01,Chubut,Producción convencional,282832.5957448,283307.99212133,281155.35829,287117.0178937767,2152.633831329993
